Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Group,Day,,,,,,,,,,,
2.234,2.219,1.637,1.398,1.126,0.971,0.882,0.701,0.6,0.537,0.45,1,1,,,,,,,,,,,
2.21,2.237,1.549,1.381,1.212,1.095,0.859,0.734,0.564,0.572,0.412,1,1,,,,,,,,,,,
2.204,2.088,1.584,1.394,1.17,0.941,0.842,0.78,0.672,0.542,0.41,1,1,,,,,,,,,,,
2.21,2.258,1.543,1.269,1.177,1.007,0.84,0.746,0.692,0.607,0.455,1,1,,,,,,,,,,,
2.418,2.322,1.67,1.243,1.078,1.001,0.866,0.707,0.666,0.581,0.489,1,1,,,,,,,,,,,
2.406,2.204,1.839,1.412,1.057,0.893,0.889,0.659,0.646,0.59,0.544,1,1,,,,,,,,,,,
2.378,2.176,1.644,1.412,1.096,1.061,0.85,0.734,0.678,0.559,0.463,1,1,,,,,,,,,,,
2.23,2.025,1.675,1.291,0.951,0.909,0.839,0.691,0.635,0.544,0.417,1,1,,,,,,,,,,,
2.282,2.165,1.557,1.107,0.923,1,0.84,0.725,0.691,0.551,0.464,1,1,,,,,,,,,,,
2.202,2.15,1.584,1.287,1.131,1.044,0.859,0.733,0.677,0.636,0.475,1,1,,,,,,,,,,,
2.474,2.164,1.621,1.326,1.187,0.955,0.85,0.717,0.621,0.503,0.448,2,1,,,,,,,,,,,
2.431,2.375,1.578,1.445,1.153,0.999,0.89,0.714,0.63,0.494,0.415,2,1,,,,,,,,,,,
2.447,2.324,1.732,1.444,1.178,1.023,0.838,0.717,0.632,0.521,0.414,2,1,,,,,,,,,,,
2.578,2.158,1.737,1.316,1.143,1.008,0.836,0.723,0.557,0.476,0.45,2,1,,,,,,,,,,,
2.578,2.249,1.852,1.559,1.107,1.061,0.848,0.725,0.627,0.485,0.404,2,1,,,,,,,,,,,
2.42,2.286,1.716,1.307,1.313,1.022,0.811,0.746,0.666,0.501,0.38,2,1,,,,,,,,,,,
2.478,2.407,1.52,1.365,1.124,1.02,0.791,0.707,0.571,0.496,0.465,2,1,,,,,,,,,,,
2.667,2.394,1.563,1.372,1.148,1.03,0.901,0.739,0.607,0.475,0.389,2,1,,,,,,,,,,,
2.456,2.374,1.907,1.562,1.363,1.049,0.849,0.721,0.622,0.514,0.467,2,1,,,,,,,,,,,
2.565,2.312,1.805,1.581,1.254,0.96,0.845,0.719,0.602,0.54,0.399,2,1,,,,,,,,,,,
2.374,2.556,1.499,1.36,1.137,1.038,0.894,0.714,0.636,0.563,0.42,2,1,,,,,,,,,,,
2.565,2.327,2.001,1.555,1.191,1.039,0.827,0.671,0.602,0.501,0.444,2,1,,,,,,,,,,,
2.357,2.176,1.599,1.415,1.1,1.017,0.854,0.762,0.616,0.568,0.486,2,1,,,,,,,,,,,
2.404,2.338,1.65,1.535,1.193,0.987,0.901,0.723,0.586,0.457,0.461,2,1,,,,,,,,,,,
2.534,2.29,1.605,1.507,1.192,1.025,0.922,0.709,0.675,0.518,0.342,2,1,,,,,,,,,,,
2.507,2.128,1.632,1.249,1.166,0.993,0.815,0.728,0.645,0.485,0.415,2,1,,,,,,,,,,,
2.533,2.391,1.62,1.24,1.33,0.967,0.857,0.693,0.623,0.512,0.389,2,1,,,,,,,,,,,
2.462,2.353,1.736,1.367,1.01,1.1,0.751,0.71,0.582,0.557,0.438,2,1,,,,,,,,,,,
2.567,2.372,1.864,1.235,1.184,1.04,0.842,0.742,0.559,0.492,0.411,2,1,,,,,,,,,,,
2.715,2.371,1.596,1.365,1.267,0.941,0.762,0.7,0.589,0.456,0.327,2,1,,,,,,,,,,,
2.236,2.208,1.61,1.557,1.467,1.07,1.126,0.805,0.85,0.707,0.656,2,1,,,,,,,,,,,
2.125,2.217,1.55,1.451,1.241,1.033,0.911,0.864,0.749,0.718,0.663,2,1,,,,,,,,,,,
2.073,2.244,1.633,1.645,1.268,1.121,0.97,0.89,0.763,0.676,0.648,2,1,,,,,,,,,,,
2.09,2.282,1.569,1.433,1.287,1.079,0.94,0.85,0.834,0.77,0.664,2,1,,,,,,,,,,,
