Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Group,Day,,,,,,,,,,,
1.681,1.384,1.184,1.147,0.802,0.788,0.732,0.659,0.553,0.512,0.475,2,4,,,,,,,,,,,
1.708,1.275,1.144,0.961,0.915,0.815,0.725,0.669,0.535,0.532,0.464,2,4,,,,,,,,,,,
1.689,1.372,1.118,1.039,0.935,0.853,0.753,0.692,0.502,0.487,0.486,2,4,,,,,,,,,,,
1.715,1.348,1.33,1.143,0.917,0.839,0.678,0.615,0.581,0.504,0.354,2,4,,,,,,,,,,,
1.878,1.395,1.081,1.033,0.781,0.749,0.748,0.649,0.529,0.509,0.507,2,4,,,,,,,,,,,
1.881,1.485,1.115,1.156,0.696,0.8,0.734,0.674,0.617,0.552,0.51,2,4,,,,,,,,,,,
1.675,1.409,1.105,1.025,0.955,0.824,0.701,0.646,0.572,0.464,0.498,2,4,,,,,,,,,,,
1.535,1.311,1.21,1.189,0.881,0.869,0.659,0.639,0.52,0.505,0.511,2,4,,,,,,,,,,,
1.791,1.411,1.052,1.116,1.055,0.794,0.748,0.744,0.588,0.494,0.447,2,4,,,,,,,,,,,
1.68,1.428,1.179,1.224,0.838,0.891,0.751,0.707,0.534,0.566,0.542,2,4,,,,,,,,,,,
1.944,1.452,1.173,1.093,0.879,0.875,0.743,0.661,0.601,0.507,0.501,2,4,,,,,,,,,,,
1.739,1.384,1.062,0.912,0.841,0.825,0.691,0.69,0.496,0.507,0.554,2,4,,,,,,,,,,,
1.726,1.247,1.295,1.001,0.87,0.793,0.665,0.612,0.545,0.464,0.561,2,4,,,,,,,,,,,
1.879,1.355,1.095,0.995,0.933,0.785,0.703,0.69,0.498,0.508,0.545,2,4,,,,,,,,,,,
1.847,1.58,1.151,1.028,0.848,0.789,0.647,0.633,0.537,0.476,0.483,2,4,,,,,,,,,,,
1.907,1.417,1.167,1.209,0.948,0.846,0.747,0.627,0.504,0.517,0.489,2,4,,,,,,,,,,,
1.772,1.335,1.202,1.138,0.868,0.857,0.679,0.613,0.552,0.409,0.406,2,4,,,,,,,,,,,
1.896,1.503,1.216,1.136,1.169,0.783,0.701,0.675,0.543,0.54,0.481,3,4,,,,,,,,,,,
1.942,1.587,1.379,1.242,1.055,0.877,0.732,0.74,0.557,0.554,0.466,3,4,,,,,,,,,,,
2.098,1.626,1.304,1.186,0.89,0.857,0.719,0.668,0.599,0.566,0.52,3,4,,,,,,,,,,,
1.975,1.737,1.174,1.023,0.961,0.843,0.728,0.68,0.524,0.557,0.539,3,4,,,,,,,,,,,
1.914,1.688,1.354,1.224,0.936,0.85,0.752,0.705,0.553,0.5,0.502,3,4,,,,,,,,,,,
1.978,1.584,1.222,0.999,0.761,0.828,0.738,0.557,0.529,0.514,0.542,3,4,,,,,,,,,,,
1.927,1.66,1.223,1.093,0.857,0.906,0.748,0.682,0.523,0.519,0.472,3,4,,,,,,,,,,,
1.903,1.603,1.381,1.317,1.074,0.864,0.79,0.691,0.545,0.514,0.457,3,4,,,,,,,,,,,
2.055,1.626,1.02,1.065,1.104,0.878,0.675,0.675,0.547,0.535,0.519,3,4,,,,,,,,,,,
2.002,1.711,1.146,1.347,0.891,0.825,0.648,0.627,0.558,0.498,0.506,3,4,,,,,,,,,,,
2.022,1.56,1.246,1.209,0.863,0.802,0.692,0.595,0.557,0.521,0.424,3,4,,,,,,,,,,,
2.047,1.581,1.306,1.17,1.043,0.852,0.69,0.55,0.527,0.478,0.511,3,4,,,,,,,,,,,
2.082,1.46,1.283,1.077,0.801,0.841,0.705,0.541,0.536,0.458,0.435,3,4,,,,,,,,,,,
1.976,1.469,1.26,1.191,0.793,0.858,0.728,0.586,0.531,0.516,0.467,3,4,,,,,,,,,,,
2.033,1.664,1.135,1.177,0.939,0.812,0.684,0.632,0.501,0.566,0.432,3,4,,,,,,,,,,,
1.977,1.714,1.29,1.098,1.07,0.78,0.69,0.651,0.57,0.42,0.531,3,4,,,,,,,,,,,
2.026,1.564,1.146,1.105,1.009,0.814,0.715,0.638,0.55,0.546,0.476,3,4,,,,,,,,,,,
2.189,1.543,1.365,1.055,0.941,0.855,0.69,0.55,0.527,0.439,0.434,3,4,,,,,,,,,,,
2.105,1.522,1.274,1.05,0.855,0.821,0.658,0.669,0.498,0.461,0.429,3,4,,,,,,,,,,,
2.1,1.534,1.242,1.079,0.898,0.746,0.709,0.659,0.487,0.459,0.412,3,4,,,,,,,,,,,
2.316,1.844,1.542,1.473,1.202,1.203,1.029,0.987,0.864,0.858,0.781,3,4,,,,,,,,,,,
2.265,1.828,1.662,1.493,1.373,1.169,1.056,0.99,0.841,0.8,0.833,3,4,,,,,,,,,,,
2.254,1.971,1.599,1.619,1.058,1.168,1.099,0.971,0.904,0.769,0.828,3,4,,,,,,,,,,,
2.194,2.052,1.531,1.613,1.238,1.14,1.032,0.982,0.896,0.804,0.819,3,4,,,,,,,,,,,
2.353,1.858,1.405,1.291,1.233,1.17,1.091,0.987,0.8,0.779,0.816,3,4,,,,,,,,,,,
2.259,1.829,1.585,1.363,1.359,1.187,1.046,0.975,0.883,0.762,0.767,3,4,,,,,,,,,,,
2.092,1.9,1.559,1.534,1.333,1.148,1.021,0.989,0.84,0.829,0.738,3,4,,,,,,,,,,,
2.342,1.854,1.623,1.366,1.15,1.161,1.073,0.958,0.869,0.772,0.737,3,4,,,,,,,,,,,
2.317,1.918,1.633,1.569,1.332,1.182,1.035,0.909,0.862,0.828,0.778,3,4,,,,,,,,,,,
2.297,1.687,1.67,1.547,1.239,1.143,1.052,1.04,0.845,0.791,0.754,3,4,,,,,,,,,,,
2.212,1.743,1.599,1.47,1.38,1.132,1.09,0.935,0.811,0.782,0.736,3,4,,,,,,,,,,,
2.396,1.924,1.62,1.657,1.393,1.105,1.029,0.954,0.831,0.697,0.741,3,4,,,,,,,,,,,
2.225,1.79,1.574,1.457,1.229,1.185,0.992,0.969,0.834,0.758,0.767,3,4,,,,,,,,,,,
2.301,1.953,1.635,1.708,1.166,1.17,1.046,0.882,0.891,0.809,0.837,3,4,,,,,,,,,,,
2.199,1.952,1.411,1.627,1.349,1.21,1.06,0.946,0.798,0.821,0.71,3,4,,,,,,,,,,,
2.386,2.032,1.576,1.398,1.224,1.126,1.105,1.005,0.885,0.84,0.786,3,4,,,,,,,,,,,
2.473,1.846,1.523,1.568,1.29,1.134,1.05,0.915,0.819,0.789,0.766,3,4,,,,,,,,,,,
2.363,1.947,1.509,1.596,1.177,1.18,1.02,0.974,0.8,0.798,0.766,3,4,,,,,,,,,,,
2.188,1.898,1.595,1.664,1.301,1.141,1.043,0.914,0.854,0.72,0.774,3,4,,,,,,,,,,,
2.401,1.78,1.598,1.368,1.302,1.142,1.032,0.907,0.852,0.75,0.725,3,4,,,,,,,,,,,
1.764,1.342,1.126,0.842,0.731,0.626,0.507,0.374,0.369,0.306,0.293,3,4,,,,,,,,,,,
2.031,1.411,1.182,0.926,0.565,0.655,0.526,0.452,0.261,0.249,0.229,3,4,,,,,,,,,,,
1.855,1.47,1.069,0.954,0.712,0.613,0.535,0.415,0.332,0.274,0.282,3,4,,,,,,,,,,,
2.031,1.331,1.033,0.98,0.774,0.588,0.469,0.427,0.258,0.257,0.235,3,4,,,,,,,,,,,
2.02,1.53,1.019,0.946,0.843,0.598,0.48,0.399,0.306,0.248,0.212,3,4,,,,,,,,,,,
2.058,1.485,1.061,1.171,0.729,0.604,0.531,0.42,0.326,0.274,0.273,3,4,,,,,,,,,,,
2.126,1.541,1.261,1.027,0.665,0.63,0.532,0.404,0.254,0.274,0.252,3,4,,,,,,,,,,,
1.868,1.629,0.997,1.049,0.687,0.571,0.469,0.41,0.355,0.304,0.232,3,4,,,,,,,,,,,
2.037,1.581,1.024,1.146,0.619,0.578,0.499,0.41,0.34,0.268,0.233,3,4,,,,,,,,,,,
2.065,1.548,1.127,1.264,0.645,0.643,0.531,0.401,0.308,0.302,0.261,3,4,,,,,,,,,,,
1.97,1.301,1.068,1.123,0.725,0.616,0.476,0.391,0.288,0.224,0.191,3,4,,,,,,,,,,,
2.115,1.681,1.211,1.026,0.62,0.573,0.477,0.349,0.305,0.26,0.252,3,4,,,,,,,,,,,
2.095,1.345,1.172,0.979,0.787,0.64,0.515,0.403,0.287,0.222,0.288,3,4,,,,,,,,,,,
2.015,1.626,1.245,0.947,0.681,0.556,0.461,0.404,0.316,0.285,0.236,3,4,,,,,,,,,,,
1.903,1.437,1.044,0.98,0.699,0.603,0.47,0.46,0.324,0.259,0.26,3,4,,,,,,,,,,,
2.013,1.446,0.954,0.996,0.75,0.598,0.491,0.421,0.354,0.271,0.269,3,4,,,,,,,,,,,
2.03,1.496,1.056,1.006,0.672,0.673,0.515,0.445,0.301,0.282,0.28,3,4,,,,,,,,,,,
1.989,1.613,1.25,1.069,0.64,0.642,0.513,0.431,0.343,0.311,0.256,3,4,,,,,,,,,,,
1.887,1.447,1.238,1.158,0.494,0.629,0.483,0.431,0.324,0.33,0.282,3,4,,,,,,,,,,,
1.92,1.677,0.971,0.932,0.789,0.573,0.524,0.395,0.283,0.261,0.271,3,4,,,,,,,,,,,
1.829,1.496,1.289,1.065,0.841,0.607,0.443,0.406,0.313,0.264,0.28,4,4,,,,,,,,,,,
1.871,1.417,1.044,1.006,0.756,0.703,0.491,0.368,0.274,0.203,0.256,4,4,,,,,,,,,,,
1.925,1.614,1.22,1.178,0.788,0.727,0.544,0.47,0.308,0.282,0.209,4,4,,,,,,,,,,,
1.98,1.414,1.312,1.108,0.793,0.619,0.501,0.456,0.299,0.273,0.194,4,4,,,,,,,,,,,
1.914,1.345,1.128,0.973,0.679,0.601,0.489,0.402,0.258,0.272,0.246,4,4,,,,,,,,,,,
2.048,1.423,1.229,1.039,0.779,0.637,0.527,0.404,0.289,0.204,0.244,4,4,,,,,,,,,,,
2.162,1.646,1.159,0.999,0.771,0.638,0.454,0.423,0.307,0.256,0.242,4,4,,,,,,,,,,,
2.017,1.433,0.979,0.955,0.7,0.621,0.444,0.431,0.291,0.252,0.172,4,4,,,,,,,,,,,
1.999,1.51,1.11,1.026,0.822,0.607,0.493,0.313,0.279,0.243,0.217,4,4,,,,,,,,,,,
2.046,1.53,1.277,0.952,0.766,0.552,0.495,0.415,0.311,0.305,0.225,4,4,,,,,,,,,,,
2.164,1.452,1.281,0.948,0.764,0.595,0.516,0.41,0.209,0.244,0.221,4,4,,,,,,,,,,,
2.026,1.521,1.115,0.901,0.658,0.691,0.466,0.37,0.305,0.231,0.237,4,4,,,,,,,,,,,
2.154,1.669,0.991,1.054,0.893,0.624,0.501,0.365,0.305,0.269,0.244,4,4,,,,,,,,,,,
1.953,1.488,1.216,0.838,0.825,0.629,0.469,0.388,0.287,0.235,0.28,4,4,,,,,,,,,,,
2.067,1.491,1.325,0.864,0.734,0.571,0.43,0.368,0.264,0.2,0.143,4,4,,,,,,,,,,,
2.042,1.505,1.13,1.01,0.751,0.574,0.457,0.401,0.24,0.277,0.296,4,4,,,,,,,,,,,
2.063,1.529,1.294,1.186,0.514,0.566,0.541,0.34,0.28,0.274,0.233,4,4,,,,,,,,,,,
2.084,1.553,0.975,0.98,0.764,0.521,0.444,0.34,0.291,0.235,0.187,4,4,,,,,,,,,,,
2.069,1.606,1.263,1.042,0.805,0.613,0.487,0.401,0.307,0.235,0.202,4,4,,,,,,,,,,,
2.171,1.479,1.17,1.051,0.861,0.591,0.514,0.354,0.27,0.219,0.186,4,4,,,,,,,,,,,
1.972,1.845,1.367,1.456,1.165,1.013,0.942,0.83,0.748,0.727,0.742,4,4,,,,,,,,,,,
1.871,1.448,1.179,1.396,1.079,1.059,0.95,0.843,0.83,0.69,0.733,4,4,,,,,,,,,,,
2.015,1.475,1.274,1.453,1.161,1.046,0.973,0.83,0.784,0.729,0.706,4,4,,,,,,,,,,,
1.868,1.647,1.222,1.264,1.013,1.091,0.897,0.847,0.729,0.723,0.74,4,4,,,,,,,,,,,
1.965,1.551,1.244,1.215,1.167,1.007,0.955,0.845,0.774,0.735,0.712,4,4,,,,,,,,,,,
1.784,1.626,1.431,1.422,1.146,0.991,0.887,0.848,0.756,0.735,0.748,4,4,,,,,,,,,,,
1.963,1.477,1.336,1.202,1.13,0.98,0.917,0.756,0.766,0.773,0.745,4,4,,,,,,,,,,,
2.007,1.518,1.379,1.243,1.1,1.04,0.859,0.852,0.75,0.704,0.727,4,4,,,,,,,,,,,
1.931,1.622,1.357,1.35,1.054,1.003,0.978,0.8,0.759,0.714,0.718,4,4,,,,,,,,,,,
2.014,1.517,1.394,1.348,1.218,1.008,0.98,0.796,0.762,0.679,0.733,4,4,,,,,,,,,,,
1.915,1.63,1.338,1.312,1.013,0.995,0.919,0.828,0.759,0.722,0.762,4,4,,,,,,,,,,,
1.927,1.634,1.422,1.099,1.061,1.023,0.972,0.839,0.763,0.702,0.721,4,4,,,,,,,,,,,
1.869,1.563,1.356,1.348,1.098,0.955,0.913,0.848,0.727,0.726,0.672,4,4,,,,,,,,,,,
1.806,1.535,1.314,1.253,1.121,0.973,0.879,0.888,0.732,0.649,0.711,4,4,,,,,,,,,,,
1.964,1.591,1.28,1.216,1.112,1.04,0.852,0.847,0.768,0.722,0.676,4,4,,,,,,,,,,,
1.906,1.503,1.235,1.199,0.998,1.004,0.973,0.893,0.783,0.723,0.69,4,4,,,,,,,,,,,
1.925,1.635,1.157,1.238,1.04,1.029,0.855,0.834,0.717,0.667,0.676,4,4,,,,,,,,,,,
1.843,1.471,1.302,1.317,0.884,0.94,0.895,0.846,0.794,0.667,0.712,4,4,,,,,,,,,,,
1.813,1.622,1.253,1.241,1.05,0.989,0.841,0.801,0.743,0.752,0.75,4,4,,,,,,,,,,,
1.837,1.551,1.265,1.309,0.814,0.951,0.854,0.919,0.775,0.697,0.69,4,4,,,,,,,,,,,
2.051,1.629,1.408,1.306,1.034,0.957,0.774,0.71,0.622,0.583,0.595,4,4,,,,,,,,,,,
2.014,1.511,1.401,1.352,0.99,0.955,0.844,0.747,0.611,0.695,0.567,4,4,,,,,,,,,,,
1.99,1.508,1.341,1.256,0.926,0.988,0.856,0.772,0.675,0.583,0.582,4,4,,,,,,,,,,,
2.133,1.671,1.317,1.255,0.9,0.944,0.82,0.753,0.593,0.63,0.573,4,4,,,,,,,,,,,
2.057,1.764,1.341,1.162,0.966,0.901,0.754,0.698,0.64,0.578,0.579,4,4,,,,,,,,,,,
2.235,1.805,1.352,1.214,1.115,0.918,0.775,0.722,0.668,0.558,0.598,4,4,,,,,,,,,,,
1.93,1.612,1.406,1.325,1.062,1.035,0.835,0.78,0.689,0.568,0.61,4,4,,,,,,,,,,,
2.054,1.587,1.473,1.195,1.027,1.002,0.819,0.772,0.612,0.637,0.572,4,4,,,,,,,,,,,
2.056,1.503,1.371,1.446,1.042,0.957,0.807,0.769,0.607,0.619,0.563,4,4,,,,,,,,,,,
1.9,1.597,1.303,1.398,1.074,0.907,0.778,0.693,0.565,0.575,0.568,4,4,,,,,,,,,,,
1.939,1.692,1.386,1.262,0.945,0.927,0.796,0.734,0.608,0.626,0.539,4,4,,,,,,,,,,,
2.007,1.537,1.285,1.114,1.158,0.943,0.807,0.794,0.586,0.589,0.563,4,4,,,,,,,,,,,
1.982,1.799,1.14,1.217,0.934,0.932,0.791,0.7,0.551,0.629,0.591,4,4,,,,,,,,,,,
2.002,1.628,1.301,1.179,0.905,0.972,0.797,0.673,0.572,0.523,0.54,4,4,,,,,,,,,,,
2.074,1.592,1.349,1.258,1.069,0.998,0.821,0.661,0.597,0.588,0.575,4,4,,,,,,,,,,,
2.022,1.672,1.352,1.277,0.898,0.924,0.738,0.744,0.563,0.581,0.55,4,4,,,,,,,,,,,
2.016,1.625,1.393,1.321,1.121,0.953,0.831,0.674,0.574,0.553,0.624,4,4,,,,,,,,,,,
2.003,1.711,1.376,1.132,0.937,0.903,0.798,0.718,0.558,0.582,0.563,4,4,,,,,,,,,,,
2.094,1.761,1.424,1.101,0.984,0.922,0.822,0.77,0.583,0.529,0.51,4,4,,,,,,,,,,,
2.142,1.659,1.383,1.223,1.029,0.863,0.731,0.732,0.504,0.543,0.551,4,4,,,,,,,,,,,
1.179,1.276,0.91,0.829,0.759,0.63,0.513,0.378,0.439,0.463,0.384,5,4,,,,,,,,,,,
1.384,1.076,1.018,0.753,0.849,0.663,0.589,0.428,0.373,0.457,0.379,5,4,,,,,,,,,,,
1.399,0.984,0.902,0.813,0.747,0.612,0.547,0.387,0.387,0.548,0.367,5,4,,,,,,,,,,,
1.276,1.094,0.908,0.821,0.912,0.642,0.569,0.376,0.412,0.517,0.371,5,4,,,,,,,,,,,
1.17,0.953,1.074,0.713,0.834,0.581,0.557,0.423,0.336,0.482,0.419,5,4,,,,,,,,,,,
1.303,1.024,0.918,0.604,0.804,0.65,0.525,0.423,0.367,0.492,0.367,5,4,,,,,,,,,,,
1.014,0.968,0.949,0.838,0.755,0.594,0.561,0.449,0.307,0.503,0.345,5,4,,,,,,,,,,,
1.232,1.189,0.943,0.749,0.774,0.615,0.55,0.482,0.372,0.487,0.392,5,4,,,,,,,,,,,
1.221,1.087,0.997,0.853,0.778,0.596,0.501,0.403,0.365,0.46,0.345,5,4,,,,,,,,,,,
1.197,0.974,0.916,0.785,0.904,0.589,0.507,0.388,0.383,0.517,0.402,5,4,,,,,,,,,,,
1.207,1.228,1.005,0.597,0.825,0.622,0.595,0.412,0.336,0.465,0.369,5,4,,,,,,,,,,,
1.342,1.053,1.097,0.731,0.85,0.572,0.599,0.424,0.389,0.447,0.353,5,4,,,,,,,,,,,
1.323,1.016,0.784,0.628,0.579,0.606,0.547,0.411,0.344,0.464,0.291,5,4,,,,,,,,,,,
1.205,1.124,0.953,0.724,0.829,0.57,0.542,0.414,0.434,0.504,0.334,5,4,,,,,,,,,,,
1.249,1,1.154,0.796,0.825,0.617,0.551,0.437,0.373,0.493,0.427,5,4,,,,,,,,,,,
1.32,0.964,1.008,0.744,0.738,0.599,0.539,0.353,0.404,0.495,0.316,5,4,,,,,,,,,,,
1.061,1.121,0.963,0.803,0.838,0.569,0.452,0.388,0.367,0.49,0.318,5,4,,,,,,,,,,,
1.372,1.309,1.123,0.848,0.719,0.557,0.536,0.436,0.436,0.492,0.364,5,4,,,,,,,,,,,
1.217,1.088,0.981,0.891,0.804,0.61,0.58,0.413,0.357,0.496,0.333,5,4,,,,,,,,,,,
1.223,1.13,0.847,0.853,0.556,0.605,0.484,0.402,0.441,0.44,0.375,5,4,,,,,,,,,,,
1.276,1.172,0.909,0.667,0.652,0.527,0.535,0.349,0.332,0.433,0.253,5,4,,,,,,,,,,,
1.25,0.954,0.93,0.716,0.816,0.638,0.518,0.361,0.338,0.456,0.341,5,4,,,,,,,,,,,
1.487,0.909,0.924,0.752,0.75,0.629,0.552,0.367,0.374,0.452,0.402,5,4,,,,,,,,,,,
1.249,1.165,0.96,0.857,0.691,0.573,0.53,0.398,0.325,0.436,0.3,5,4,,,,,,,,,,,
1.19,0.987,1.07,0.759,0.645,0.613,0.521,0.366,0.373,0.432,0.274,5,4,,,,,,,,,,,
1.141,0.873,0.907,0.771,0.729,0.558,0.549,0.365,0.34,0.546,0.288,5,4,,,,,,,,,,,
1.37,0.804,1.216,0.621,0.786,0.568,0.486,0.392,0.376,0.468,0.346,5,4,,,,,,,,,,,
1.273,1.134,0.971,0.635,0.671,0.541,0.505,0.331,0.354,0.459,0.355,5,4,,,,,,,,,,,
1.31,1.208,0.886,0.754,0.615,0.515,0.497,0.396,0.342,0.519,0.342,5,4,,,,,,,,,,,
1.337,0.948,1.056,0.887,0.742,0.502,0.545,0.314,0.376,0.44,0.262,5,4,,,,,,,,,,,
1.035,0.95,0.793,0.748,0.58,0.449,0.373,0.361,0.243,0.362,0.245,5,4,,,,,,,,,,,
1.237,1.086,0.871,0.763,0.525,0.49,0.364,0.29,0.366,0.354,0.257,5,4,,,,,,,,,,,
1.114,1.004,0.843,0.48,0.828,0.541,0.441,0.36,0.249,0.387,0.301,5,4,,,,,,,,,,,
1.201,0.966,0.792,0.672,0.756,0.538,0.536,0.403,0.243,0.429,0.302,5,4,,,,,,,,,,,
1.253,1.168,0.76,0.758,0.661,0.472,0.439,0.298,0.176,0.383,0.2,5,4,,,,,,,,,,,
1.143,0.894,0.989,0.659,0.589,0.471,0.476,0.253,0.166,0.388,0.21,5,4,,,,,,,,,,,
1.178,0.959,1.041,0.82,0.741,0.492,0.526,0.289,0.225,0.325,0.245,5,4,,,,,,,,,,,
1.081,1.037,0.936,0.742,0.614,0.524,0.456,0.3,0.336,0.328,0.198,5,4,,,,,,,,,,,
1.303,1.079,0.948,0.694,0.603,0.528,0.449,0.293,0.349,0.297,0.189,5,4,,,,,,,,,,,
1.102,0.872,0.833,0.655,0.51,0.499,0.418,0.247,0.243,0.402,0.187,5,4,,,,,,,,,,,
1.201,1.079,0.946,0.69,0.579,0.543,0.425,0.223,0.316,0.299,0.21,5,4,,,,,,,,,,,
1.3,1.055,0.82,0.761,0.621,0.472,0.363,0.339,0.284,0.332,0.252,5,4,,,,,,,,,,,
1.28,1.108,0.986,0.792,0.542,0.449,0.43,0.31,0.317,0.316,0.259,5,4,,,,,,,,,,,
1.112,0.87,0.925,0.481,0.731,0.484,0.387,0.285,0.376,0.356,0.236,5,4,,,,,,,,,,,
1.452,0.999,0.744,0.662,0.687,0.481,0.396,0.245,0.287,0.341,0.186,5,4,,,,,,,,,,,
1.113,1.132,1.066,0.708,0.575,0.427,0.377,0.245,0.237,0.334,0.194,5,4,,,,,,,,,,,
1.204,1.112,0.694,0.722,0.781,0.46,0.357,0.274,0.263,0.35,0.234,5,4,,,,,,,,,,,
1.1,0.915,0.703,0.716,0.461,0.476,0.36,0.297,0.083,0.312,0.316,5,4,,,,,,,,,,,
1.315,0.969,0.875,0.608,0.682,0.49,0.379,0.258,0.336,0.345,0.166,5,4,,,,,,,,,,,
1.238,1.016,0.866,0.696,0.612,0.468,0.428,0.242,0.269,0.352,0.249,5,4,,,,,,,,,,,
1.133,1.092,0.746,0.813,0.664,0.411,0.409,0.289,0.254,0.307,0.225,5,4,,,,,,,,,,,
1.288,0.94,0.705,0.705,0.598,0.467,0.389,0.245,0.215,0.252,0.188,5,4,,,,,,,,,,,
1.188,1.228,0.922,0.633,0.615,0.408,0.351,0.286,0.139,0.343,0.234,5,4,,,,,,,,,,,
1.115,0.76,0.764,0.701,0.676,0.523,0.374,0.268,0.121,0.368,0.218,5,4,,,,,,,,,,,
1.252,0.868,0.891,0.633,0.675,0.517,0.378,0.217,0.187,0.406,0.171,5,4,,,,,,,,,,,
1.425,1.068,0.823,0.748,0.59,0.49,0.376,0.29,0.259,0.279,0.184,5,4,,,,,,,,,,,
1.185,1.037,0.806,0.601,0.478,0.39,0.43,0.26,0.193,0.358,0.172,5,4,,,,,,,,,,,
1.195,0.97,0.816,0.68,0.595,0.468,0.404,0.258,0.133,0.348,0.214,5,4,,,,,,,,,,,
1.005,0.836,0.934,0.693,0.626,0.433,0.411,0.209,0.208,0.315,0.217,5,4,,,,,,,,,,,
0.989,0.756,0.92,0.524,0.683,0.484,0.43,0.199,0.149,0.36,0.162,5,4,,,,,,,,,,,
1.355,1.246,0.933,0.842,0.704,0.56,0.405,0.34,0.341,0.393,0.242,6,4,,,,,,,,,,,
1.478,1.282,0.905,0.783,0.648,0.628,0.518,0.403,0.388,0.381,0.276,6,4,,,,,,,,,,,
1.469,1.238,0.845,0.887,0.817,0.544,0.548,0.357,0.381,0.416,0.309,6,4,,,,,,,,,,,
1.319,1.169,0.805,0.709,0.792,0.577,0.534,0.344,0.365,0.425,0.324,6,4,,,,,,,,,,,
1.272,1.131,0.769,0.826,0.67,0.538,0.453,0.241,0.31,0.306,0.212,6,4,,,,,,,,,,,
1.394,1.256,0.857,0.595,0.759,0.563,0.422,0.284,0.319,0.404,0.273,6,4,,,,,,,,,,,
1.311,1.018,0.946,0.854,0.732,0.508,0.467,0.247,0.268,0.309,0.204,6,4,,,,,,,,,,,
1.348,1.107,1.089,0.712,0.756,0.553,0.441,0.288,0.339,0.344,0.188,6,4,,,,,,,,,,,
1.317,1.114,0.937,0.725,0.764,0.556,0.42,0.224,0.334,0.397,0.165,6,4,,,,,,,,,,,
1.342,1.264,0.915,0.779,0.657,0.471,0.362,0.259,0.276,0.372,0.135,6,4,,,,,,,,,,,
1.349,1.017,1.133,0.746,0.696,0.529,0.388,0.243,0.289,0.309,0.201,6,4,,,,,,,,,,,
1.408,1.127,0.815,0.953,0.735,0.416,0.396,0.24,0.22,0.328,0.213,6,4,,,,,,,,,,,
1.454,1.254,0.937,0.828,0.503,0.514,0.436,0.2,0.274,0.367,0.201,6,4,,,,,,,,,,,
1.238,1.189,0.978,0.758,0.735,0.427,0.435,0.236,0.294,0.34,0.173,6,4,,,,,,,,,,,
1.237,1.108,0.938,0.817,0.66,0.467,0.421,0.284,0.204,0.239,0.191,6,4,,,,,,,,,,,
1.47,1.072,1.098,0.688,0.637,0.507,0.436,0.237,0.262,0.242,0.189,6,4,,,,,,,,,,,
1.339,0.858,0.975,0.829,0.655,0.475,0.49,0.212,0.244,0.357,0.201,6,4,,,,,,,,,,,
1.264,1.129,0.936,0.815,0.567,0.476,0.447,0.185,0.228,0.307,0.146,6,4,,,,,,,,,,,
1.276,1.251,1.096,0.7,0.705,0.438,0.421,0.196,0.221,0.321,0.171,6,4,,,,,,,,,,,
1.396,1.043,0.901,0.866,0.562,0.525,0.361,0.244,0.223,0.279,0.16,6,4,,,,,,,,,,,
1.399,1.024,1.1,0.719,0.572,0.469,0.43,0.257,0.284,0.285,0.135,6,4,,,,,,,,,,,
1.291,1.149,0.958,0.554,0.582,0.484,0.401,0.276,0.245,0.301,0.133,6,4,,,,,,,,,,,
1.35,0.981,0.927,0.755,0.612,0.521,0.404,0.285,0.1,0.325,0.171,6,4,,,,,,,,,,,
1.489,1.14,0.823,0.578,0.812,0.51,0.43,0.249,0.202,0.298,0.156,6,4,,,,,,,,,,,
1.398,1.231,1.09,0.79,0.709,0.459,0.39,0.196,0.224,0.3,0.134,6,4,,,,,,,,,,,
1.325,1.318,0.983,0.656,0.571,0.456,0.37,0.258,0.23,0.312,0.11,6,4,,,,,,,,,,,
1.289,1.004,0.921,0.924,0.614,0.42,0.414,0.269,0.231,0.311,0.183,6,4,,,,,,,,,,,
1.458,1.309,0.935,0.738,0.56,0.417,0.429,0.197,0.279,0.313,0.158,6,4,,,,,,,,,,,
1.431,1.144,0.945,0.747,0.701,0.486,0.413,0.217,0.161,0.311,0.199,6,4,,,,,,,,,,,
1.526,1.046,0.908,0.78,0.626,0.457,0.37,0.251,0.132,0.26,0.134,6,4,,,,,,,,,,,
1.514,1.153,1.219,0.838,0.716,0.635,0.474,0.329,0.358,0.496,0.222,6,4,,,,,,,,,,,
1.524,1.188,1.183,0.998,0.814,0.589,0.522,0.42,0.35,0.378,0.293,6,4,,,,,,,,,,,
1.593,1.352,1.138,0.795,0.768,0.563,0.536,0.343,0.317,0.38,0.325,6,4,,,,,,,,,,,
1.62,1.032,1.148,0.862,0.739,0.543,0.477,0.271,0.261,0.396,0.308,6,4,,,,,,,,,,,
1.441,1.259,1.24,0.725,0.783,0.605,0.488,0.352,0.339,0.379,0.241,6,4,,,,,,,,,,,
1.651,1.211,1.12,0.731,0.722,0.607,0.466,0.324,0.345,0.472,0.264,6,4,,,,,,,,,,,
