Index,Events,Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Cell Type,Time Period,Cell Type.V1
124,0,3.001,2.435,2.059,1.59,1.348,1.18,0.909,0.758,0.761,0.683,0.487,mg63,48,4
125,0,2.948,2.319,2.185,1.593,1.243,1.173,0.957,0.807,0.752,0.672,0.627,mg63,48,4
141,Feed,2.758,2.378,2.174,1.743,1.358,1.303,1.127,0.995,0.935,0.874,0.805,mg63,48,4
142,0,2.758,2.255,2.239,1.788,1.364,1.347,1.176,1.023,0.971,0.848,0.789,mg63,48,4
143,0,2.987,2.258,2.078,1.76,1.46,1.349,1.149,1.052,0.947,0.883,0.765,mg63,48,4
144,0,2.844,2.435,2.008,1.909,1.428,1.325,1.138,0.987,0.934,0.854,0.758,mg63,48,4
145,0,2.925,2.353,2.218,1.893,1.308,1.359,1.213,0.95,0.927,0.886,0.716,mg63,48,4
22,Feed,4.364,3.866,3.484,3.405,3.051,2.875,2.769,2.646,2.509,2.377,2.408,mg63,96,4
23,0,4.381,3.794,3.566,3.543,2.989,2.912,2.766,2.648,2.553,2.389,2.46,mg63,96,4
24,0,4.554,4.011,3.757,3.565,3.102,2.979,2.813,2.719,2.583,2.464,2.48,mg63,96,4
25,0,4.444,3.864,3.569,3.621,3.144,3.025,2.851,2.798,2.548,2.463,2.493,mg63,96,4
26,0,4.454,3.954,3.688,3.681,3.114,3.044,2.86,2.784,2.611,2.511,2.513,mg63,96,4
29,Feed,6.561,5.922,5.468,5.036,4.884,4.832,4.66,4.531,4.376,4.32,4.306,mg63,96,4
30,0,6.393,5.7,5.297,4.587,4.76,4.596,4.461,4.321,4.231,4.191,4.126,mg63,96,4
31,0,6.109,5.443,5.123,4.245,4.338,4.416,4.257,4.132,4.025,3.904,3.93,mg63,96,4
32,0,5.847,5.332,4.945,3.704,4.195,4.136,4.04,4.007,3.797,3.731,3.691,mg63,96,4
33,0,5.516,5.069,4.506,3.829,4.168,3.969,3.859,3.721,3.649,3.486,3.498,mg63,96,4
53,Feed,4.402,3.603,3.31,2.941,2.488,2.404,2.215,2.12,1.978,1.89,1.923,mg63,96,4
54,0,4.443,3.662,3.126,2.869,2.542,2.347,2.212,2.141,2.029,1.902,1.952,mg63,96,4
55,0,4.443,3.651,3.245,2.847,2.418,2.426,2.197,2.067,2.007,1.937,1.905,mg63,96,4
56,0,4.599,3.818,3.224,2.984,2.474,2.398,2.233,2.15,2.01,1.903,1.943,mg63,96,4
57,0,4.54,3.803,3.159,2.912,2.582,2.379,2.264,2.163,2.027,1.892,1.936,mg63,96,4
60,Feed,6.395,5.678,5.037,4.773,4.304,4.12,4.006,3.832,3.698,3.566,3.492,mg63,96,4
61,0,6.568,5.556,5.079,4.647,4.3,4.15,3.968,3.809,3.674,3.499,3.57,mg63,96,4
62,0,6.376,5.669,4.896,4.756,4.344,4.166,3.981,3.85,3.676,3.515,3.495,mg63,96,4
63,0,6.364,5.644,5.131,4.862,4.257,4.158,3.972,3.862,3.654,3.511,3.522,mg63,96,4
64,0,6.466,5.577,5.029,4.873,4.287,4.096,3.981,3.845,3.67,3.483,3.519,mg63,96,4
