purchaseOrderTime,purchaseOrderGas,makeOrderTime,makeOrderGas,sourceTime,sourceGas,genTime,genGas
25.31900001,196341,26.49499989,55216,11.41700006,304009,13.43199992,94809
24.02799988,196341,13.53699994,55152,34.09200001,303945,31.70599985,94745
26.83599997,196341,11.76600003,55216,9.582000017,304009,31.87400007,94809
45.5999999,196341,13.20799994,55216,11.5480001,304009,9.119999886,94809
29.50099993,196341,14.2889998,55216,31.48799992,304009,11.48899984,94745
10.84499979,196341,10.09899998,55216,34.78399992,304009,31.64599991,94809
30.97399998,196341,22.74600005,55216,9.562000036,304009,11.73600006,94809
27.10800004,196341,9.970000029,55216,29.9849999,304009,28.86199999,94809
21.74000001,196341,11.62800002,55216,10.01600003,304009,12.32400012,94809
28.77900004,196341,10.66299987,55216,10.01600003,304009,12.32400012,94809
28.77900004,196341,10.66299987,55216,31.125,304009,27.55700016,94745
22.70700002,196341,13.69099998,55216,1.18599987,304009,13.77600002,94809
24.28999996,196341,13.33100009,55216,34.10599995,304009,30.18700004,94809
26.93600011,196341,12.87700009,55216,26.80599999,304009,27.49500012,94809
27.1500001,196341,13.74600005,55216,13.66300011,304009,5.997999907,94809
36.24499989,196341,33.01699996,55216,9.273000002,304009,28.00699997,94745
10.35099983,196341,15.55999994,55216,27.21399999,304009,30.88100004,94809
10.29399991,196341,28.82399988,55216,13.07299995,304009,26.10500002,94809
15.25,196341,33.89699984,55216,30.38100004,304009,17.17000008,94809
21.07399988,196341,9.105999947,55216,38.32800007,304009,9.217999935,94809
21.31400013,196341,22.39599991,55216,9.208999872,304009,1.423000097,94809
16.32299995,196341,26.52800012,55216,9.836000204,304009,0.506999969,94809
20.41100001,196341,22.046,55152,12.51900005,303945,20.70700002,94809
15.70600009,196341,8.523000002,55216,26.0940001,304009,27.73399997,94809
8.475000143,196341,18.05299997,55216,18.84299994,304009,17.87800002,94809
11.86500001,196341,15.60899997,55216,16.87299991,304009,15.14300013,94809
21.4519999,196341,16.7579999,55216,16.71899986,304009,20.5309999,94809
19.87899995,196341,4.15199995,55216,10.37299991,304009,21.65799999,94809
22.99000001,196341,7.25,55216,18.62899995,304009,13.34000015,94809
15.29100013,196341,8.611999989,55216,9.830999851,304009,11.83599997,94809
11.34700012,196341,17.30699992,55216,7.630000114,304009,10.73199987,94809
13.88899994,196341,18.98900008,55216,12.77599978,304009,8.478999853,94809
27.28600001,196341,27.92600012,55216,6.460999966,304009,5.330000162,94809
