AREA,PERIMETER,CELL_ID,Lon,Lat,cdirjan,cdirfeb,cdirmar,cdirapr,cdirmay,cdirjun,cdirjul,cdiraug,cdirsep,cdiroct,cdirnov,cdirdec,cdirann
0.118,1.376,288101,88.54800000000,25.12300000000,4876,3938,3882,3613,3358,1986,1114,1754,2108,5444,4571,5213,3488
0.118,1.376,276099,92.94200000000,25.10900000000,5269,4175,3092,2822,2624,1562,970,1490,1406,4343,5523,6185,3288
0.118,1.376,283100,90.38900000000,25.10000000000,5579,4209,3981,3376,3268,1425,985,1325,1611,5281,5368,6121,3544
0.118,1.375,289101,88.19500000000,25.05700000000,4923,3974,3868,3695,3329,2181,1129,1914,2068,5660,4572,5136,3537
0.118,1.375,277099,92.58400000000,25.06700000000,5302,4189,2892,2474,2545,1231,846,1352,1137,4331,5631,6328,3188
0.118,1.375,284100,90.03400000000,25.04500000000,5452,4114,4020,3518,3425,1660,1063,1424,1684,5296,5092,5944,3557
0.118,1.374,278099,92.22700000000,25.02400000000,5321,4138,3212,2434,2659,1287,975,1427,1306,4848,5580,6142,3277
0.118,1.374,290101,87.84200000000,24.98900000000,4845,3972,3928,3765,3461,2214,1084,1944,2222,5653,4583,5060,3560
0.118,1.374,285100,89.67900000000,24.98700000000,4818,3804,3835,3322,3003,1709,1242,1591,1750,4822,4485,5141,3293
0.118,1.373,279099,91.87000000000,24.97900000000,5163,4091,3339,2516,2532,1304,1055,1374,1350,4528,5145,5855,3187
0.117,1.372,286100,89.32500000000,24.92800000000,4811,3771,3810,3303,3050,1760,1246,1687,1851,4890,4450,5137,3313
0.117,1.372,280099,91.51400000000,24.93200000000,5075,3992,3329,2507,2571,1219,998,1451,1433,4564,5089,5726,3162
0.117,1.372,291101,87.49100000000,24.92000000000,4760,4046,4104,4053,3579,2267,1062,1844,2229,5220,4554,4927,3553
0.117,1.371,281099,91.15800000000,24.88300000000,5114,3929,3333,2594,2763,1266,991,1426,1428,4649,4951,5689,3177
0.117,1.371,287100,88.97200000000,24.86600000000,4775,3787,3780,3336,3086,1801,1275,1684,1848,4872,4401,5078,3310
0.117,1.370,282099,90.80300000000,24.83200000000,5378,4138,3673,2979,3043,1538,996,1513,1561,5193,5245,6098,3446
0.117,1.370,275098,93.34300000000,24.82400000000,5397,4273,3296,3085,2860,1670,973,1614,1495,4531,5398,6059,3387
0.117,1.370,288100,88.62000000000,24.80300000000,4931,3933,3891,3736,3396,1950,1176,1774,2041,5443,4585,5197,3504
0.117,1.369,283099,90.44900000000,24.77900000000,5470,4217,3790,2987,3029,1519,980,1358,1520,5086,5250,6134,3445
0.117,1.369,276098,92.98600000000,24.78500000000,5652,4395,3339,3023,2934,1516,1020,1563,1572,4928,5698,6371,3500
0.117,1.368,289100,88.26800000000,24.73800000000,4892,3986,3903,3639,3414,1977,1261,1753,2057,5252,4456,5116,3475
0.117,1.368,277098,92.63000000000,24.74400000000,5693,4552,3277,2884,2881,1493,1060,1482,1361,4846,5745,6334,3467
0.117,1.368,284099,90.09600000000,24.72400000000,5324,4158,4063,3366,3102,1488,1029,1307,1566,5204,5022,5686,3442
0.117,1.367,278098,92.27500000000,24.70100000000,5603,4360,3484,2793,2697,1341,1079,1483,1405,4757,5433,6049,3373
0.116,1.367,290100,87.91800000000,24.67100000000,4926,3944,3880,3697,3424,2070,1290,1841,2041,5427,4445,5073,3504
0.116,1.367,285099,89.74300000000,24.66700000000,4999,3940,3937,3373,3043,1579,1088,1365,1818,5175,4624,5400,3361
0.116,1.366,279098,91.92100000000,24.65700000000,5587,4348,3529,2683,2735,1324,964,1444,1498,4903,5450,6047,3376
0.116,1.366,286099,89.39100000000,24.60800000000,4814,3815,3861,3296,3184,1715,1244,1647,1865,4934,4411,5171,3329
0.116,1.365,291100,87.56800000000,24.60200000000,5037,4040,4123,3925,3455,2208,1224,1548,2150,5250,4589,5009,3546
0.116,1.366,280098,91.56600000000,24.61000000000,5111,4036,3332,2545,2582,1305,979,1448,1502,4498,5041,5717,3174
0.116,1.364,281098,91.21300000000,24.56100000000,5247,4073,3545,2804,2748,1302,958,1417,1356,4784,5220,5902,3279
0.116,1.364,287099,89.04000000000,24.54700000000,4975,3933,3913,3554,3270,1812,1250,1754,2074,5456,4616,5311,3493
0.116,1.364,292100,87.21900000000,24.53100000000,4948,4086,4232,4161,3680,2392,1295,1732,2244,5475,4659,4827,3644
0.116,1.363,282098,90.86000000000,24.51100000000,5283,4123,3667,2952,2875,1604,960,1412,1583,4963,5078,5876,3364
0.116,1.363,288099,88.69000000000,24.48400000000,4758,3851,3739,3455,3166,1802,1210,1812,2004,5083,4335,4953,3347
0.116,1.362,283098,90.50800000000,24.45800000000,5266,4090,4359,3524,3115,1517,990,1306,1751,4986,5124,5884,3492
0.116,1.362,276097,93.03000000000,24.46200000000,5778,4538,3608,3454,3192,1545,1082,1588,1578,4816,5649,6342,3597
0.116,1.362,289099,88.34100000000,24.42000000000,5000,3962,3944,3622,3414,1983,1348,1755,2217,5373,4462,5062,3511
0.116,1.362,277097,92.67600000000,24.42200000000,5944,4748,4170,3306,3036,1247,1131,1543,1568,4812,5498,6241,3603
0.116,1.361,284098,90.15700000000,24.40400000000,4991,4036,4406,3605,3164,1382,849,1359,1588,5017,4907,5612,3409
0.115,1.361,278097,92.32300000000,24.37900000000,5876,4589,3984,2949,2883,1257,1023,1419,1706,4837,5389,6173,3507
0.115,1.360,290099,87.99200000000,24.35300000000,4725,3964,3920,3580,3183,1914,1268,1657,2076,5204,4259,4758,3375
0.115,1.360,285098,89.80700000000,24.34700000000,5163,4118,4179,3393,3066,1349,1014,1433,1719,5336,4841,5647,3438
0.115,1.360,279097,91.97100000000,24.33500000000,5771,4546,4050,2738,2793,1430,1048,1497,1538,4908,5547,6284,3512
0.115,1.359,291099,87.64500000000,24.28500000000,4943,3970,4040,3680,3263,2044,1260,1501,2150,5285,4352,4771,3438
0.115,1.359,286098,89.45700000000,24.28900000000,4952,4050,4175,3503,3290,1517,1095,1598,1999,5420,4735,5435,3480
0.115,1.359,280097,91.61900000000,24.28900000000,5430,4153,3816,2681,2736,1391,1044,1419,1456,4843,5362,6113,3370
0.115,1.358,281097,91.26700000000,24.24100000000,5200,4001,4157,3152,2937,1467,1018,1356,1336,4743,5051,5776,3349
0.115,1.358,287098,89.10800000000,24.22900000000,4829,3944,3952,3474,3208,1710,1224,1760,2170,5170,4368,5094,3408
0.115,1.357,292099,87.29800000000,24.21500000000,5089,4126,4192,3963,3445,2341,1296,1587,2295,5477,4455,4816,3590
0.115,1.357,282097,90.91700000000,24.19000000000,4920,3843,3819,2995,2615,1282,967,1299,1511,4371,4740,5291,3137
0.115,1.356,288098,88.76000000000,24.16600000000,4846,3946,3882,3475,3262,1802,1295,1777,2208,5169,4437,5045,3428
0.115,1.356,283097,90.56700000000,24.13800000000,4956,3921,4316,3305,3056,1392,879,1301,1600,4892,4749,5507,3322
0.114,1.355,289098,88.41200000000,24.10200000000,4610,3846,3759,3336,3032,1805,1223,1815,2103,5037,4187,4638,3282
0.114,1.355,277096,92.72100000000,24.10000000000,6304,5406,4931,4200,3887,1494,1255,1657,1731,4951,5531,6423,3980
0.114,1.355,284097,90.21800000000,24.08400000000,4756,3937,4278,3213,2923,1309,1028,1395,1626,4748,4569,5363,3262
0.114,1.354,278096,92.37000000000,24.05900000000,6195,5013,4577,3777,3687,1414,1370,1817,1735,5143,5546,6436,3892
0.114,1.354,290098,88.06600000000,24.03700000000,4794,3934,3885,3541,3223,1971,1351,1732,2106,5165,4225,4699,3385
0.114,1.353,285097,89.86900000000,24.02900000000,4837,3929,4407,3573,3157,1490,947,1591,1836,5027,4587,5401,3398
0.114,1.353,279096,92.02000000000,24.01500000000,5830,4749,4177,3362,3473,1488,1138,1675,1757,5115,5533,6425,3726
0.114,1.352,291098,87.72000000000,23.96900000000,4895,4029,3894,3517,3204,2020,1464,1822,2098,5183,4219,4695,3420
0.114,1.352,286097,89.52100000000,23.97100000000,5057,4182,4191,3466,3271,1451,1110,1760,2023,5397,4745,5532,3515
